Category: All categories,,,
,,,
Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Carolina,23%,66%,11%
Alabama,24%,64%,12%
Tennessee,22%,65%,13%
Kentucky,23%,64%,13%
Indiana,24%,63%,13%
North Carolina,23%,64%,13%
Georgia,23%,63%,14%
Arkansas,22%,66%,12%
Utah,21%,66%,13%
Illinois,23%,63%,14%
Nevada,21%,65%,14%
Oklahoma,19%,69%,12%
Ohio,23%,63%,14%
West Virginia,23%,64%,13%
Pennsylvania,23%,62%,15%
Connecticut,22%,63%,15%
Texas,22%,65%,13%
Virginia,24%,62%,14%
Arizona,21%,66%,13%
Rhode Island,23%,64%,13%
Michigan,20%,66%,14%
Wisconsin,21%,66%,13%
Delaware,23%,64%,13%
Florida,23%,63%,14%
Maryland,23%,61%,16%
Kansas,19%,67%,14%
New Jersey,23%,60%,17%
Mississippi,20%,68%,12%
Missouri,19%,68%,13%
California,20%,65%,15%
Idaho,19%,67%,14%
Louisiana,20%,66%,14%
New Mexico,20%,66%,14%
North Dakota,18%,70%,12%
Nebraska,18%,70%,12%
New Hampshire,20%,66%,14%
Oregon,18%,68%,14%
Washington,19%,67%,14%
Iowa,17%,70%,13%
Colorado,18%,68%,14%
New York,21%,63%,16%
Minnesota,17%,68%,15%
Massachusetts,21%,62%,17%
South Dakota,14%,76%,10%
Maine,17%,71%,12%
Wyoming,17%,70%,13%
Vermont,17%,69%,14%
Montana,15%,73%,12%
Alaska,15%,72%,13%
Hawaii,14%,73%,13%
District of Columbia,16%,68%,16%
